symbol,asset_type,primary_exchange,tradable,active,start_date,end_date,effective_date
SIMAA,COMMON_STOCK,NASDAQ,True,True,2020-01-01,,2025-01-01
SIMAB,COMMON_STOCK,NASDAQ,True,True,2020-01-01,,2025-01-01
SIMAC,COMMON_STOCK,NASDAQ,True,True,2020-01-01,,2025-01-01
SIMAD,COMMON_STOCK,NASDAQ,True,True,2020-01-01,,2025-01-01
SIMAE,COMMON_STOCK,NASDAQ,True,True,2020-01-01,,2025-01-01
SIMAF,COMMON_STOCK,NASDAQ,True,True,2020-01-01,,2025-01-01
SIMAG,COMMON_STOCK,NASDAQ,True,True,2020-01-01,,2025-01-01
SIMAH,COMMON_STOCK,NASDAQ,True,True,2020-01-01,,2025-01-01
SIMBA,COMMON_STOCK,NASDAQ,True,True,2020-01-01,,2025-01-01
SIMBB,COMMON_STOCK,NASDAQ,True,True,2020-01-01,,2025-01-01
SIMBC,COMMON_STOCK,NASDAQ,True,True,2020-01-01,,2025-01-01
SIMBD,COMMON_STOCK,NASDAQ,True,True,2020-01-01,,2025-01-01
SIMBE,COMMON_STOCK,NASDAQ,True,True,2020-01-01,,2025-01-01
SIMBF,COMMON_STOCK,NASDAQ,True,True,2020-01-01,,2025-01-01
SIMBG,COMMON_STOCK,NASDAQ,True,True,2020-01-01,,2025-01-01
SIMBH,COMMON_STOCK,NASDAQ,True,True,2020-01-01,,2025-01-01
SIMCA,COMMON_STOCK,NASDAQ,True,True,2020-01-01,,2025-01-01
SIMCB,COMMON_STOCK,NASDAQ,True,True,2020-01-01,,2025-01-01
SIMCC,COMMON_STOCK,NASDAQ,True,True,2020-01-01,,2025-01-01
SIMCD,COMMON_STOCK,NASDAQ,True,True,2020-01-01,,2025-01-01
SIMCE,COMMON_STOCK,NASDAQ,True,True,2020-01-01,,2025-01-01
SIMCF,COMMON_STOCK,NASDAQ,True,True,2020-01-01,,2025-01-01
SIMCG,COMMON_STOCK,NASDAQ,True,True,2020-01-01,,2025-01-01
SIMCH,COMMON_STOCK,NASDAQ,True,True,2020-01-01,,2025-01-01
SIMDA,COMMON_STOCK,NASDAQ,True,True,2020-01-01,,2025-01-01
SIMDB,COMMON_STOCK,NASDAQ,True,True,2020-01-01,,2025-01-01
SIMDC,COMMON_STOCK,NASDAQ,True,True,2020-01-01,,2025-01-01
SIMDD,COMMON_STOCK,NASDAQ,True,True,2020-01-01,,2025-01-01
SIMDE,COMMON_STOCK,NASDAQ,True,True,2020-01-01,,2025-01-01
SIMDF,COMMON_STOCK,NASDAQ,True,True,2020-01-01,,2025-01-01
SIMDG,COMMON_STOCK,NASDAQ,True,True,2020-01-01,,2025-01-01
SIMDH,COMMON_STOCK,NASDAQ,True,True,2020-01-01,,2025-01-01
SIMETF,ETF,NYSE,True,True,,,
SIMW,WARRANT,NASDAQ,True,True,,,
SIMP,PREFERRED,NYSE,True,True,,,
SIMOTC,COMMON_STOCK,OTC,True,True,,,
